stop_id,stop_name,stop_lat,stop_lon,stop_code
451,Charter Oaks Blvd @ Route 175,39.10524945,-76.72188234,451
452,Route 175 @ Reece RD,39.11396967,-76.72695039,452
453,Route 175 @ 20th St,39.11793182,-76.72953045,453
454,Route 175 @ Severn Square Shopping Ctr,39.12950442,-76.73697208,454
455,Ridge Rd @ Severn Library,39.13143924,-76.73719466,455
456,Ridge Rd @ Stone Castle Dr,39.13621089,-76.73436326,456
457,Ridge Rd @ Bastille Pl,39.14080971,-76.73065017,457
459,Ridge Rd @ Stoney Run Rd,39.14813905,-76.72470287,459
460,Ridge Rd @ Thames River Dr,39.15040611,-76.72223936,460
467,Waugh Chapel RD @ Old Waugh Chapel Rd,39.06746197,-76.70622188,467
476,Strawberry Lake Way @ Piney Orchard Pkwy,39.0638555,-76.72190617,476
477,Piney Orchard Pkwy @ Piney Orchard Village Ctr,39.06649448,-76.72000303,477
478,Odenton MARC Station (East Platform),39.08717848,-76.70529872,478
479,Montrose Ave @ 7th St,39.09876369,-76.85774739,479
480,8th St @ West St,39.10317215,-76.85723943,480
481,8th St @ Montgomery St,39.10520115,-76.85678157,481
487,Harvest Way @ Riverbank Ct,39.11239,-76.85473833,487
488,Harvest Way @ Mayflower Ct,39.11206682,-76.85476884,488
489,All Saints Rd @ N Laurel Rd,39.12134676,-76.84752037,489
490,North Laurel Community Center,39.11607483,-76.83676084,490
491,Whiskey Bottom Rd @ All Saints Rd,39.1243203,-76.84164927,491
493,Whiskey Bottom Rd @ Glen Ridge Dr,39.12061333,-76.83774167,493
494,Stephens Rd @ Boundless Shade Ter,39.12809833,-76.845475,494
495,Stephens Rd @ Whiskey Bottom Rd,39.12810167,-76.845655,495
496,Gorman Rd @ Shantha Ct,39.13529412,-76.84290253,496
497,Gorman Rd @ Shantha Ct,39.13537833,-76.84275833,497
498,Snowden River Pkwy @ Oakland Mills Rd,39.17897941,-76.82857847,498
499,Snowden River Pkwy @ Rustling Leaf,39.17727805,-76.83228674,499
500,Snowden River Pkwy @ Carved Stone Way,39.1759854,-76.83759818,500
501,Snowden River Pkwy @ Minstrel Way,39.17672791,-76.8441572,501
507,Broken Land Pkwy @ Cradlerock Way,39.19179699,-76.85192538,507
508,Snowden River Pkwy @ Minstrel Way,39.17637642,-76.84389265,508
509,Lincoln Tech North Entrance,39.17678345,-76.83254807,509
510,Snowden River Pkwy @ Oakland Mills Rd,39.17869482,-76.82848417,510
511,Dorsey Run Rd @ Guilford Rd,39.13097668,-76.79362435,511
512,Dorsey Run Rd @ Giant Dr,39.13463098,-76.79303906,512
513,Dorsey Run Rd @ Giant Dr,39.13426251,-76.79324132,513
514,Dorsey Run Rd @ Guilford Rd,39.13097797,-76.79390394,514
515,Cedar Ln @ Rock Coast Rd,39.21904454,-76.88815219,515
517,Atholton Shopping Center,39.18389847,-76.87192329,517
518,Shaker Dr @ Cape Ann Dr,39.17977153,-76.86758736,518
519,Shaker Dr @ South Carlinda Ave,39.17933234,-76.85958186,519
520,Shaker Dr @ South Carlinda Ave,39.17941339,-76.85949394,520
521,Shaker Dr @ Cape Ann Dr,39.17991951,-76.86770375,521
522,Atholton Shopping Center,39.18388705,-76.87177154,522
523,Normandy Shopping Center,39.28620291,-76.80712232,523
524,Howard County Health Department,39.28618893,-76.80889767,524
525,Howard County Health Department,39.28616339,-76.80900217,525
526,Normandy Shopping Center,39.28613236,-76.80722487,526
527,Assateaque Dr @ Rappahannok Dr,39.16021101,-76.78153893,527
531,Brokenland Pkwy @ Cradlerock Way,39.185772,-76.85057399,531
533,Cedar Ln @ Harpers Farm Rd,39.22096675,-76.88833923,533
534,Cedar Ln @ Little Patuxent Pkwy,39.21564572,-76.88740659,534
535,Cedar Ln @ Rock Coast Rd,39.21762854,-76.88795608,535
536,Righttime Medical Care,39.19711441,-76.88457442,536
537,Centre Park Drive I,39.22681541,-76.81649875,537
538,Centre Park Drive II,39.22684515,-76.81598729,538
539,Clocktower Ln @ Clocktower Ln,39.16328394,-76.84598574,539
540,Clocktower,39.16417377,-76.84932603,540
541,Parkview at Colonial Landing,39.20254932,-76.73508079,541
542,Columbia 100 PKWY @ Centre Park Dr,39.22863169,-76.8136354,542
543,Columbia 100 Pkwy @ Centre Park Dr,39.22870931,-76.81342857,543
544,Executive Park Dr @ Columbia 100 Pkwy,39.23532351,-76.81623293,544
545,Columbia 100 PKWY @ Goose Landing Cir,39.23300501,-76.81601473,545
546,Columbia 100 PKWY @ Goose Landing Cir,39.23224117,-76.81570056,546
547,Columbia Crossing Ctr @ Old Navy,39.19820755,-76.81455268,547
548,Columbia Crossing Ctr @ Target,39.19662722,-76.8126629,548
551,Courthouse Dr,39.27561104,-76.80519512,551
552,Columbia Rd @ Brook Way,39.22791568,-76.85587306,552
553,Columbia Rd @ Brook Way,39.22797292,-76.85603514,553
554,Columbia Rd @ Clarksville Pike,39.23891697,-76.84410861,554
555,Columbia Rd @ Clarksville Pike,39.2387429,-76.84433425,555
556,Government Center,39.27583014,-76.80504048,556
557,Columbia Rd @ Tarkington Pl,39.23304573,-76.84663421,557
558,Columbia Rd @ Ten Mills Rd,39.23061871,-76.85261831,558
559,Columbia Crossing Ctr @ LaMadeline,39.19692066,-76.81529852,559
560,Corridor Rd @ Greenwood Pl,39.13595903,-76.81201271,560
561,Corridor Rd @ Bollman Pl,39.13192279,-76.80269765,561
562,Corridor Rd @ Bollman Pl,39.13180484,-76.80279806,562
563,Corridor Rd @ Junction Dr,39.12619869,-76.7977204,563
564,Corridor Rd @ Larkin Rd,39.13614793,-76.81005698,564
565,Corridor Rd @ Larkin Rd,39.13584292,-76.80927881,565
568,Dobbin Center @ Ross,39.19430183,-76.81883484,568
569,Dobbin Center,39.19540189,-76.81780765,569
570,Dorsey Hall Professional Park,39.24320622,-76.83531171,570
571,Dorseys Search,39.24388086,-76.84151126,571
572,Pediatric Medical Center Entrance,39.24297504,-76.83779018,572
573,Selbourne House,39.24676839,-76.83201417,573
574,Dorsey MARC Station,39.18100426,-76.74604396,574
575,Clifton T Perkins Hospital,39.14031499,-76.79334446,575
576,Clifton T Perkins Hospital,39.14054449,-76.79316838,576
577,Dorsey Search Village Center,39.2428144,-76.8419652,577
579,Elkridge Corners Shopping Center,39.20723731,-76.72917419,579
580,Howard County Library Ekridge Branch,39.20133109,-76.73612012,580
582,Ellicott Mills Dr @ Main St,39.26918029,-76.80122468,582
583,Ellicott Mills Dr @ Main St,39.26921776,-76.80104678,583
584,Ellicott Mills Dr @ MT Ida Dr,39.27285662,-76.80376056,584
585,Mount Ida,39.27270983,-76.80391293,585
587,Corridor Rd @ Junction Dr,39.12621669,-76.79790501,587
588,Executive Park Dr @ Columbia 100 Pkwy,39.23519215,-76.8159853,588
589,Freetown Rd @ Fair Oaks Dr,39.18984015,-76.87987775,589
590,Fair Oaks Dr @ Quarterstaff Rd,39.19225446,-76.87647747,590
591,Shalom Square,39.20492707,-76.81685167,591
